ensembl_gene_id,external_gene_name,entrezgene_id,gene_biotype,description
ENSG00000136159,NUDT15,55270,protein_coding,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]
ENSG00000136810,TXN,7295,protein_coding,thioredoxin [Source:HGNC Symbol;Acc:HGNC:12435]
ENSG00000136824,SMC2,10592,protein_coding,structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]
ENSG00000136982,DSCC1,79075,protein_coding,DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]
ENSG00000137135,ARHGEF39,84904,protein_coding,Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]
ENSG00000137310,TCF19,6941,protein_coding,transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629]
ENSG00000137563,GGH,8836,protein_coding,gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]
ENSG00000137804,NUSAP1,51203,protein_coding,nucleolar and spindle associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18538]
ENSG00000137807,KIF23,9493,protein_coding,kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392]
ENSG00000137812,KNL1,57082,protein_coding,kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]
ENSG00000137970,RPL7P9,NA,processed_pseudogene,ribosomal protein L7 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37028]
ENSG00000138160,KIF11,3832,protein_coding,kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]
ENSG00000138166,DUSP5,1847,protein_coding,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]
ENSG00000138180,CEP55,55165,protein_coding,centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]
ENSG00000138182,KIF20B,9585,protein_coding,kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]
ENSG00000138587,MNS1,55329,protein_coding,meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]
ENSG00000138658,ZGRF1,55345,protein_coding,zinc finger GRF-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25654]
ENSG00000138778,CENPE,1062,protein_coding,centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]
ENSG00000139239,RPL14P1,NA,processed_pseudogene,ribosomal protein L14 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31384]
ENSG00000139318,DUSP6,1848,protein_coding,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]
ENSG00000139354,GAS2L3,283431,protein_coding,growth arrest specific 2 like 3 [Source:HGNC Symbol;Acc:HGNC:27475]
ENSG00000139618,BRCA2,675,protein_coding,BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]
ENSG00000140451,PIF1,80119,protein_coding,PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]
ENSG00000140525,FANCI,55215,protein_coding,FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]
ENSG00000140534,TICRR,90381,protein_coding,TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]
ENSG00000142731,PLK4,10733,protein_coding,polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]
ENSG00000142945,KIF2C,11004,protein_coding,kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]
ENSG00000143228,NUF2,83540,protein_coding,NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]
ENSG00000143401,ANP32E,81611,protein_coding,acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]
ENSG00000143476,DTL,51514,protein_coding,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288]
ENSG00000143847,PPFIA4,8497,protein_coding,PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]
ENSG00000144118,RALB,5899,protein_coding,RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]
ENSG00000144354,CDCA7,83879,protein_coding,cell division cycle associated 7 [Source:HGNC Symbol;Acc:HGNC:14628]
ENSG00000144554,FANCD2,2177,protein_coding,FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]
ENSG00000145386,CCNA2,890,protein_coding,cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]
ENSG00000146410,MTFR2,113115,protein_coding,mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]
ENSG00000146670,CDCA5,113130,protein_coding,cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]
ENSG00000146918,NCAPG2,54892,protein_coding,non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]
ENSG00000147536,GINS4,84296,protein_coding,GINS complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:28226]
ENSG00000148339,SLC25A25,114789,protein_coding,solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]
ENSG00000148773,MKI67,4288,protein_coding,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
ENSG00000149503,INCENP,3619,protein_coding,inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]
ENSG00000149636,DSN1,79980,protein_coding,DSN1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:16165]
ENSG00000149948,HMGA2,8091,protein_coding,high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]
ENSG00000151503,NCAPD3,23310,protein_coding,non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]
ENSG00000151725,CENPU,79682,protein_coding,centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]
ENSG00000151849,CENPJ,55835,protein_coding,centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]
ENSG00000152253,SPC25,57405,protein_coding,SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]
ENSG00000153044,CENPH,64946,protein_coding,centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]
